Local;Visitante;RESULTADO;Jornada;Clas L;PJ L;PG L;PE V;PP L;GF L;GC L;Ptos L;Clas V;PJ V;PG V;PE V;PP V;GF V;GC V;Ptos V;Alavés;Athletic;Atlético;Barcelona;Betis;Cádiz;Celta;Eibar;Elche;Getafe;Granada;Huesca;Levante;Osasuna;R. Madrid;R. Sociedad;Sevilla;Valencia;Valladolid;Villarreal;F com L;F rec L;TA rec L;TR rec L;F com L;F rec L;TA rec L;TR rec L
Alavés;Athletic;1;5;6;2;2;0;0;4;1;6;13;3;1;0;2;5;6;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
Osasuna;Celta;1;5;19;4;0;1;3;2;5;1;17;2;1;0;1;1;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;
Elche;Huesca;0;5;1;3;2;1;0;4;0;7;7;4;2;0;2;5;6;6;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;;;;;;;;
Levante;R. Madrid;2;5;9;3;2;0;1;5;7;6;14;3;1;0;2;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;;;;;;;;
Cádiz;Granada;0;5;16;4;0;3;1;2;4;3;12;2;1;1;0;6;1;4;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;;;;
Athletic;Levante;1;6;12;3;1;2;0;6;1;5;4;5;2;2;1;6;7;8;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;;;;;;;
Betis;R. Sociedad;2;6;5;3;2;1;0;8;1;7;6;3;2;1;0;5;2;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;;;;;;;
Celta;Atlético;2;6;3;5;2;2;1;7;2;8;7;4;2;1;1;4;3;7;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
R. Madrid;Cádiz;2;6;8;5;2;1;2;7;7;7;2;5;3;0;2;7;6;9;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;
Villarreal;Valencia;1;6;20;5;0;2;3;3;7;2;14;5;1;1;3;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;;;;;;;;
